# timestamps [seconds],pts
91147.808961,6219395
91147.852677,6222260
91147.876572,6223826
91147.919434,6226635
91147.942521,6228148
91147.979417,6230566
91147.994706,6231568
91148.034028,6234145
91148.065827,6236229
91148.102448,6238629
91148.138123,6240967
91148.176942,6243511
91148.194382,6244654
91148.234818,6247304
91148.266999,6249413
91148.307770,6252085
91148.323075,6253088
91148.362931,6255700
91148.400773,6258180
91148.444718,6261059
91148.467683,6262564
91148.511765,6265453
91148.534241,6266926
91148.578583,6269832
91148.606476,6271660
91148.646866,6274307
91148.670365,6275847
91148.713059,6278645
91148.735383,6280108
91148.779511,6283000
91148.803269,6284557
91148.846528,6287392
91148.869767,6288915
91148.914139,6291823
91148.930390,6292888
91148.971024,6295551
91149.004029,6297714
91149.042496,6300235
91149.060914,6301442
91149.099290,6303957
91149.138459,6306524
91149.177888,6309108
91149.196839,6310350
91149.233109,6312727
91149.264603,6314791
91149.305314,6317459
91149.323472,6318649
91149.362183,6321186
91149.405564,6324029
91149.450379,6326965
91149.472977,6328446
91149.516694,6331311
91149.541093,6332910
91149.584550,6335758
91149.607758,6337279
91149.650910,6340107
91149.674637,6341662
91149.718033,6344506
91149.741273,6346029
91149.784699,6348875
91149.807160,6350347
91149.852204,6353299
91149.868684,6354379
91149.910279,6357105
91149.927369,6358225
91149.965745,6360740
91149.999360,6362943
91150.037476,6365441
91150.071412,6367665
91150.092133,6369023
91150.126908,6371302
91150.164551,6373769
91150.194474,6375730
91150.231797,6378176
91150.264161,6380297
91150.309647,6383278
91150.355103,6386257
91150.379533,6387858
91150.421113,6390582
91150.445786,6392199
91150.488160,6394976
91150.513077,6396609
91150.555787,6399408
91150.579911,6400989
91150.601472,6402402
91150.645386,6405280
91150.669175,6406839
91150.712540,6409681
91150.735459,6411183
91150.779038,6414039
91150.803742,6415658
91150.842103,6418172
91150.858918,6419274
91150.902360,6422121
91150.934663,6424238
91150.974625,6426857
91150.992951,6428058
91151.029679,6430465
91151.063172,6432660
91151.103470,6435301
91151.136780,6437484
91151.175233,6440004
91151.193467,6441199
91151.232835,6443779
91151.270112,6446222
91151.315629,6449205
91151.338334,6450693
91151.382035,6453557
91151.405015,6455063
91151.448945,6457941
91151.471986,6459451
91151.514970,6462268
91151.539551,6463879
91151.583054,6466730
91151.606797,6468286
91151.649964,6471115
91151.673569,6472662
91151.717179,6475520
91151.742020,6477148
91151.785630,6480006
91151.801942,6481075
91151.841569,6483672
91151.859742,6484863
91151.899232,6487451
91151.930970,6489531
91151.965317,6491782
91151.996995,6493858
91152.032990,6496217
91152.065095,6498321
91152.100373,6500633
91152.134141,6502846
91152.175690,6505569
91152.198106,6507038
91152.241624,6509890
91152.286408,6512825
91152.310639,6514413
91152.353013,6517190
91152.383790,6519207
91152.421235,6521660
91152.445252,6523234
91152.488755,6526085
91152.512665,6527652
91152.555054,6530430
91152.579240,6532015
91152.621384,6534777
91152.646622,6536431
91152.690949,6539336
91152.714066,6540851
91152.734162,6542168
91152.770844,6544572
91152.788331,6545718
91152.846574,6549535
91152.864686,6550722
91152.903886,6553291
91152.937928,6555522
91152.973313,6557841
91152.993272,6559149
91153.035111,6561891
91153.069291,6564131
91153.108979,6566732
91153.127442,6567942
91153.168870,6570657
91153.214860,6573671
91153.240082,6575324
91153.281586,6578044
91153.305253,6579595
91153.348618,6582437
91153.373093,6584041
91153.414567,6586758
91153.441010,6588491
91153.482011,6591178
91153.506577,6592788
91153.549302,6595588
91153.573991,6597206
91153.615006,6599894
91153.639802,6601519
91153.675828,6603880
91153.699403,6605425
91153.734360,6607716
91153.777131,6610519
91153.796845,6611811
91153.834275,6614264
91153.866120,6616351
91153.903184,6618780
91153.934464,6620830
91153.973466,6623386
91153.991227,6624550
91154.030228,6627106
91154.062745,6629237
91154.107514,6632171
91154.151551,6635057
91154.177933,6636786
91154.219865,6639534
91154.243867,6641107
91154.285218,6643817
91154.310212,6645455
91154.353196,6648272
91154.378281,6649916
91154.419953,6652646
91154.444108,6654229
91154.487611,6657080
91154.511368,6658637
91154.554154,6661441
91154.579682,6663114
91154.620560,6665793
91154.643754,6667313
91154.678590,6669596
91154.705918,6671387
91154.739396,6673581
91154.762925,6675123
91154.795167,6677236
91154.833848,6679771
91154.867539,6681979
91154.905884,6684492
91154.924439,6685708
91154.966096,6688438
91155.001679,6690770
91155.040955,6693344
91155.059281,6694545
91155.101838,6697334
91155.146531,6700263
91155.170396,6701827
91155.212769,6704604
91155.238541,6706293
91155.280518,6709044
91155.305237,6710664
91155.347626,6713442
91155.372712,6715086
91155.414719,6717838
91155.438645,6719406
91155.481370,6722206
91155.506409,6723847
91155.547196,6726520
91155.572571,6728183
91155.607514,6730473
91155.630707,6731993
91155.665162,6734251
91155.708115,6737066
91155.727372,6738328
91155.765992,6740859
91155.800873,6743145
91155.838898,6745637
91155.856003,6746758
91155.894288,6749267
91155.929780,6751593
91155.971451,6754324
91156.017213,6757323
91156.042267,6758965
91156.083665,6761678
91156.109711,6763385
91156.151902,6766150
91156.176728,6767777
91156.217744,6770465
91156.242112,6772062
91156.285065,6774877
91156.309571,6776483
91156.352051,6779267
91156.377930,6780963
91156.419663,6783697
91156.444520,6785326
91156.486527,6788079
91156.510789,6789669
91156.545655,6791954
91156.568635,6793460
91156.601243,6795597
91156.641190,6798215
91156.658326,6799338
91156.700349,6802092
91156.733536,6804267
91156.770798,6806709
91156.790070,6807972
91156.825226,6810276
91156.860139,6812564
